TWC_200/FREQUENCY_PROGRAM,TWC_200/FREQUENCY_PROGRAM
1898.0,2.0035103217377612E8
1904.0,2.0035232838783312E8
1910.0,2.0035357216926056E8
1916.0,2.0035476623430732E8
1922.0,2.003559132365667E8
1928.0,2.0035701545449555E8
1934.0,2.0035807512662056E8
1940.0,2.0035909435500535E8
1946.0,2.0036007511505195E8
1952.0,2.0036101926449326E8
1958.0,2.0036192855165288E8
1964.0,2.0036280462303805E8
1970.0,2.0036364903032693E8
1976.0,2.003644632368054E8
1982.0,2.0036524862330148E8
1988.0,2.003660064936618E8
1994.0,2.0036673807980996E8
2000.0,2.0036744454642305E8
2006.0,2.003681269952581E8
2012.0,2.0036878646915925E8
2018.0,2.003694239557709E8
2024.0,2.003700403909821E8
2030.0,2.0037063666212338E8
2036.0,2.0037121361093724E8
2042.0,2.0037177203633916E8
2048.0,2.003723126969861E8
2054.0,2.003728363136685E8
2060.0,2.0037334357153806E8
2066.0,2.0037383512218562E8
2072.0,2.0037431158557877E8
2078.0,2.003747735518716E8
2084.0,2.0037522158309454E8
2090.0,2.003756562147348E8
2096.0,2.0037607795721412E8
2102.0,2.0037648729727182E8
2108.0,2.003768846992604E8
2114.0,2.0037727060635948E8
2120.0,2.0037764544171372E8
2126.0,2.003780096095008E8
2132.0,2.003783634959335E8
2138.0,2.003787074702013E8
2144.0,2.003790418853547E8
2150.0,2.0037936707913697E8
2156.0,2.0037968337476662E8
2162.0,2.0037999108167365E8
2168.0,2.0038029049619293E8
2174.0,2.0038058190221757E8
2180.0,2.003808655718145E8
2186.0,2.0038114176580536E8
2192.0,2.0038141073431417E8
2198.0,2.003816727172847E8
2201.0,2.0038180033111745E8
2204.0,2.003819279233328E8
2210.0,2.003821765733863E8
2216.0,2.0038241890128058E8
2222.0,2.0038265511086482E8
2228.0,2.0038288539799628E8
2234.0,2.0038310995090932E8
2240.0,2.0038332895056507E8
2246.0,2.003835425709829E8
2252.0,2.0038375097955373E8
2258.0,2.003839543373379E8
2264.0,2.0038415279934728E8
2270.0,2.0038434651481265E8
2276.0,2.0038453562743786E8
2282.0,2.0038472027564123E8
2288.0,2.0038490059278417E8
2294.0,2.0038507670738915E8
2300.0,2.003852487433465E8
2306.0,2.0038541682011098E8
2312.0,2.003855810528888E8
2318.0,2.0038574155281594E8
2324.0,2.0038589842712706E8
2330.0,2.0038605177931723E8
2336.0,2.0038620170929527E8
2342.0,2.0038634831353027E8
2348.0,2.0038649168519083E8
2354.0,2.0038663191427836E8
2360.0,2.003867690877536E8
2366.0,2.0038690328965777E8
2372.0,2.003870346012278E8
2378.0,2.0038716310100675E8
2384.0,2.0038728886494875E8
2390.0,2.0038741196651968E8
2396.0,2.0038753247679293E8
2402.0,2.003876504645413E8
2408.0,2.0038776599632454E8
2414.0,2.003878791365733E8
2420.0,2.0038798994766924E8
2426.0,2.0038809849002162E8
2432.0,2.0038820482214096E8
2438.0,2.003883090007089E8
2444.0,2.0038841108064592E8
2450.0,2.0038851111517537E8
2456.0,2.0038860915588543E8
2462.0,2.0038870525278804E8
2468.0,2.0038879945437562E8
2474.0,2.003888918076756E8
2480.0,2.0038898235830215E8
2486.0,2.0038907115050635E8
2492.0,2.0038915822722405E8
2498.0,2.0038924363012195E8
2504.0,2.003893273996416E8
2510.0,2.0038940957504186E8
2516.0,2.0038949019443947E8
2522.0,2.003895692948483E8
2528.0,2.0038964691221672E8
2534.0,2.0038972308146378E8
2540.0,2.0038979783651382E8
2546.0,2.0038987121032974E8
2552.0,2.0038994323494515E8
2558.0,2.0039001394149512E8
2564.0,2.0039008336024573E8
2570.0,2.003901515206228E8
2576.0,2.0039021845123902E8
2582.0,2.0039028417992058E8
2588.0,2.0039034873373258E8
2594.0,2.003904121390034E8
2600.0,2.0039047442134824E8
2606.0,2.0039053560569197E8
2612.0,2.0039059571629092E8
2618.0,2.0039065477675387E8
2624.0,2.0039071281006253E8
2630.0,2.0039076983859104E8
2636.0,2.003908258841247E8
2642.0,2.0039088096787837E8
2648.0,2.0039093511051401E8
2654.0,2.003909883321575E8
2660.0,2.00391040652415E8
2666.0,2.0039109209038877E8
2672.0,2.0039114266469234E8
2678.0,2.0039119239346528E8
2684.0,2.003912412943872E8
2690.0,2.003912893846916E8
2696.0,2.0039133668117902E8
2700.0,2.0039136769388065E8
2702.0,2.0039138321124375E8
2708.0,2.0039142900188342E8
2714.0,2.00391474046652E8
2720.0,2.0039151836074132E8
2726.0,2.0039156195897E8
2732.0,2.0039160485579425E8
2738.0,2.0039164706531817E8
2744.0,2.0039168860130373E8
2750.0,2.003917294771808E8
2756.0,2.0039176970605636E8
2762.0,2.0039180930072364E8
2768.0,2.003918482736708E8
2774.0,2.0039188663708985E8
2780.0,2.0039192440288445E8
2786.0,2.003919615826782E8
2792.0,2.0039199818782225E8
2798.0,2.003920342294028E8
2804.0,2.0039206971824843E8
2810.0,2.0039210466493702E8
2816.0,2.003921390798026E8
2822.0,2.0039217297294202E8
2828.0,2.003922063542212E8
2834.0,2.003922392332814E8
2840.0,2.003922716195452E8
2846.0,2.0039230352222237E8
2852.0,2.0039233495031542E8
2858.0,2.003923659126251E8
2864.0,2.0039239640332952E8
2888.0,2.0039251337105465E8
2894.0,2.0039254141528824E8
2906.0,2.0039259613901734E8
2930.0,2.0039270039647081E8
2936.0,2.003927254326661E8
2942.0,2.0039275007484052E8
2948.0,2.003927743312236E8
2960.0,2.0039282171847188E8
2966.0,2.0039284486475372E8
2972.0,2.003928676560901E8
2978.0,2.003928900997058E8
2984.0,2.003929122026427E8
2996.0,2.003929554137663E8
3008.0,2.0039299734234342E8
3014.0,2.0039301784148997E8
3020.0,2.0039303803866482E8
3032.0,2.0039307755058005E8
3044.0,2.0039311592363864E8
3050.0,2.0039313469673446E8
3056.0,2.0039315320122123E8
3068.0,2.0039318942466238E8
3080.0,2.0039322463336554E8
3086.0,2.003932418690023E8
3092.0,2.0039325886490986E8
3098.0,2.003932756255171E8
3104.0,2.0039329215515107E8
3122.0,2.0039334040001512E8
3128.0,2.003933560470866E8
3134.0,2.003933714833879E8
3140.0,2.003933867126909E8
3152.0,2.0039341656497195E8
3158.0,2.0039343119508275E8
3164.0,2.0039344563246498E8
3170.0,2.003934598804922E8
3176.0,2.0039347394246456E8
3188.0,2.003935015210889E8
3194.0,2.0039351504399055E8
3200.0,2.0039352839334017E8
3206.0,2.0039354157209796E8
3224.0,2.003935801134891E8
3230.0,2.0039359263824823E8
3242.0,2.0039361722026554E8
3248.0,2.0039362928268203E8
3254.0,2.0039364119605404E8
3260.0,2.0039365296282974E8
3266.0,2.0039366458540735E8
3272.0,2.003936760661362E8
3278.0,2.0039368740731794E8
3302.0,2.0039373142100322E8
3314.0,2.0039375264709315E8
3326.0,2.003937733744376E8
3332.0,2.0039378355595526E8
3338.0,2.003937936185606E8
3350.0,2.0039381339438692E8
3374.0,2.0039385159801513E8
3386.0,2.0039387005291045E8
3392.0,2.003938791243045E8
3398.0,2.00393888093744E8
3404.0,2.003938969627535E8
3410.0,2.0039390573282903E8
3416.0,2.00393914405439E8
3422.0,2.003939229820245E8
3428.0,2.0039393146400025E8
3434.0,2.0039393985275495E8
3452.0,2.003939644732022E8
3464.0,2.0039398044507056E8
3481.0,2.003940024697791E8
3482.0,2.0039400375056353E8
3494.0,2.0039401870895007E8
3500.0,2.0039402606830558E8
3506.0,2.0039403333642954E8
3512.0,2.0039404050212055E8
3518.0,2.0039404756724477E8
3524.0,2.003940545336249E8
3530.0,2.0039406140304166E8
3536.0,2.0039406817723492E8
3542.0,2.0039407485790467E8
3548.0,2.003940814467122E8
3554.0,2.003940879452812E8
3560.0,2.0039409435519886E8
3566.0,2.0039410067801648E8
3572.0,2.0039410691525096E8
3578.0,2.0039411306838524E8
3584.0,2.0039411913886955E8
3590.0,2.0039412512812218E8
3596.0,2.0039413103753018E8
3602.0,2.0039413686845034E8
3608.0,2.003941426222099E8
3614.0,2.0039414830010748E8
3620.0,2.0039415390341356E8
3626.0,2.0039415943337137E8
3632.0,2.003941648911976E8
3638.0,2.00394170278083E8
3644.0,2.0039417559519318E8
3650.0,2.0039418084366897E8
3656.0,2.0039418602462742E8
3662.0,2.0039419113916203E8
3668.0,2.003941961883437E8
3674.0,2.0039420117322093E8
3680.0,2.0039420609482065E8
3686.0,2.0039421095414862E8
3692.0,2.0039421575219E8
3698.0,2.0039422048990983E8
3704.0,2.0039422516825354E8
3710.0,2.0039422978814745E8
3716.0,2.0039423435049912E8
3722.0,2.0039423885619792E8
3728.0,2.0039424330611545E8
3734.0,2.0039424770110595E8
3740.0,2.0039425204200667E8
3746.0,2.0039425632963824E8
3752.0,2.0039426056480536E8
3758.0,2.0039426474829665E8
3764.0,2.0039426888088557E8
3770.0,2.0039427296333033E8
3776.0,2.0039427699637452E8
3782.0,2.0039428098074746E8
3788.0,2.003942849171643E8
3794.0,2.0039428880632648E8
3800.0,2.003942926489221E8
3806.0,2.0039429644562617E8
3812.0,2.0039430019710085E8
3818.0,2.003943039039958E8
3824.0,2.0039430756694856E8
3830.0,2.0039431118658453E8
3836.0,2.0039431476351756E8
3842.0,2.0039431829835004E8
3848.0,2.0039432179167312E8
3854.0,2.0039432524406713E8
3860.0,2.003943286561016E8
3866.0,2.0039433202833575E8
3872.0,2.0039433536131838E8
3878.0,2.0039433865558842E8
3884.0,2.0039434191167495E8
3890.0,2.0039434513009757E8
3896.0,2.0039434831136632E8
3902.0,2.0039435145598224E8
3908.0,2.003943545644373E8
3914.0,2.0039435763721475E8
3920.0,2.0039436067478916E8
3926.0,2.0039436367762673E8
3932.0,2.0039436664618534E8
3938.0,2.003943695809149E8
3944.0,2.003943724822574E8
3950.0,2.0039437535064703E8
3956.0,2.0039437818651035E8
3962.0,2.0039438099026668E8
3968.0,2.0039438376232788E8
3974.0,2.003943865030988E8
3980.0,2.0039438921297723E8
3986.0,2.003943918923542E8
3992.0,2.0039439454161394E8
3998.0,2.003943971611342E8
4004.0,2.0039439975128627E8
4010.0,2.003943967075554E8
4016.0,2.0039439363502237E8
4022.0,2.0039439053404254E8
4028.0,2.0039438740496522E8
4034.0,2.003943842481339E8
4040.0,2.0039438106388626E8
4046.0,2.0039437785255432E8
4052.0,2.0039437461446473E8
4058.0,2.0039437134993854E8
4064.0,2.0039436805863768E8
4070.0,2.003943647387702E8
4076.0,2.003943613905254E8
4082.0,2.0039435801425081E8
4088.0,2.0039435461028767E8
4094.0,2.0039435117897132E8
4100.0,2.0039434772063115E8
4106.0,2.003943442355907E8
4112.0,2.0039434072416788E8
4118.0,2.0039433718667504E8
4124.0,2.00394333623419E8
4130.0,2.003943300347013E8
4136.0,2.0039432642081824E8
4142.0,2.003943227820609E8
4148.0,2.0039431911871535E8
4154.0,2.0039431543106273E8
4160.0,2.0039431171937937E8
4166.0,2.0039430798393673E8
4172.0,2.003943042250016E8
4178.0,2.003943004428363E8
4184.0,2.0039429663769856E8
4190.0,2.0039429280984175E8
4196.0,2.0039428895951483E8
4202.0,2.0039428508696258E8
4208.0,2.0039428119242564E8
4214.0,2.003942772761404E8
4220.0,2.003942733383394E8
4226.0,2.0039426937925115E8
4232.0,2.003942653991003E8
4238.0,2.0039426139810768E8
4244.0,2.0039425737649044E8
4250.0,2.0039425333446193E8
4256.0,2.003942492722321E8
4262.0,2.003942451880773E8
4268.0,2.003942410572401E8
4274.0,2.0039423687258753E8
4280.0,2.0039423263471413E8
4286.0,2.0039422834419078E8
4292.0,2.003942240015654E8
4298.0,2.0039421960736316E8
4304.0,2.0039421516208723E8
4310.0,2.0039421066621906E8
4316.0,2.0039420612021866E8
4322.0,2.0039420152452528E8
4328.0,2.003941968795578E8
4334.0,2.0039419218571463E8
4340.0,2.003941874433747E8
4346.0,2.0039418265289724E8
4352.0,2.0039417781462234E8
4358.0,2.003941729288713E8
4364.0,2.0039416799594668E8
4370.0,2.0039416301613274E8
4376.0,2.0039415798969552E8
4382.0,2.0039415291688323E8
4388.0,2.0039414779792634E8
4394.0,2.003941426330378E8
4400.0,2.003941374224132E8
4406.0,2.0039413216623095E8
4412.0,2.0039412686465248E8
4418.0,2.003941215178222E8
4424.0,2.0039411612586787E8
4430.0,2.003941106889004E8
4436.0,2.0039410520701426E8
4442.0,2.0039409968028727E8
4448.0,2.003940941087809E8
4454.0,2.0039408849254015E8
4460.0,2.0039408283159363E8
4510.0,2.0039408282726806E8
4535.0,2.0039408282184565E8
4560.0,2.003940828268365E8
4610.0,2.0039408295751265E8
4660.0,2.003940829586634E8
4685.0,2.003940829983127E8
4710.0,2.0039408302046987E8
4760.0,2.0039408307922673E8
4810.0,2.0039408312732372E8
4835.0,2.0039408315300876E8
4860.0,2.0039408317493868E8
4910.0,2.003940832210296E8
4960.0,2.0039408326333335E8
4985.0,2.0039408328293592E8
5010.0,2.0039408330342922E8
5060.0,2.0039408333986926E8
5110.0,2.0039408337166592E8
5135.0,2.003940833868896E8
5160.0,2.0039408340141687E8
5210.0,2.0039408342921048E8
5310.0,2.0039408348337358E8
5410.0,2.0039408353417712E8
5460.0,2.003940835604123E8
5560.0,2.0039408360930136E8
5610.0,2.003940836329839E8
5710.0,2.0039408367881727E8
5760.0,2.003940837008216E8
5810.0,2.0039408372199762E8
5885.0,2.0039408375450015E8
5910.0,2.0039408376480442E8
5960.0,2.0039408378644806E8
6060.0,2.0039408382763717E8
6110.0,2.0039408384862614E8
6160.0,2.0039408386883372E8
6210.0,2.0039408388843644E8
6260.0,2.00394083909229E8
6335.0,2.0039408393904397E8
6360.0,2.0039408394948572E8
6485.0,2.0039408399857765E8
6660.0,2.0039408406857613E8
6760.0,2.0039408410837483E8
6860.0,2.0039408414918923E8
6910.0,2.003940841702088E8
6960.0,2.0039408418995753E8
7010.0,2.003940842117098E8
7060.0,2.003940842319529E8
7160.0,2.00394084274108E8
7210.0,2.0039408429629213E8
7260.0,2.0039408431673932E8
7310.0,2.0039408433937687E8
7360.0,2.0039408436143744E8
7410.0,2.003940843827748E8
7810.0,2.0039408456343636E8
7910.0,2.0039408460794154E8
7960.0,2.0039408462950328E8
8010.0,2.003940846524243E8
8060.0,2.0039408467313954E8
8135.0,2.0039408470532137E8
8160.0,2.0039408471530548E8
8260.0,2.0039408475697687E8
8310.0,2.0039408477735308E8
8360.0,2.0039408479706523E8
8410.0,2.003940848175963E8
8435.0,2.003940848284653E8
8510.0,2.0039408485781124E8
8585.0,2.003940848903982E8
8660.0,2.0039408492314592E8
8760.0,2.0039408497094646E8
8810.0,2.0039408499736124E8
8860.0,2.0039408502561703E8
8885.0,2.003940850416648E8
8910.0,2.0039408505682647E8
8960.0,2.003940850936897E8
9010.0,2.0039408513690338E8
9035.0,2.0039408516231614E8
9060.0,2.003940851866286E8
9110.0,2.0039408525138295E8
9160.0,2.0039408532517904E8
9235.0,2.00394085464E8
9240.0,2.0039408557884517E8
